name,category
Albany Park,Operation/Personnel Violations
Albany Park,Use Of Force
Albany Park,Illegal Search
Andersonville,Use Of Force
Andersonville,Operation/Personnel Violations
Andersonville,Verbal Abuse
Archer Heights,Operation/Personnel Violations
Archer Heights,Use Of Force
Archer Heights,Lockup Procedures
Armour Square,Use Of Force
Armour Square,Operation/Personnel Violations
Armour Square,Verbal Abuse
Ashburn,Operation/Personnel Violations
Ashburn,Use Of Force
Ashburn,Conduct Unbecoming (Off-Duty)
Auburn Gresham,Operation/Personnel Violations
Auburn Gresham,Use Of Force
Auburn Gresham,Illegal Search
Austin,Use Of Force
Austin,Operation/Personnel Violations
Austin,Illegal Search
Avalon Park,Operation/Personnel Violations
Avalon Park,Use Of Force
Avalon Park,Traffic
Avondale,Use Of Force
Avondale,Operation/Personnel Violations
Avondale,Illegal Search
Belmont Cragin,Operation/Personnel Violations
Belmont Cragin,Use Of Force
Belmont Cragin,Lockup Procedures
Beverly,Operation/Personnel Violations
Beverly,Use Of Force
Beverly,Conduct Unbecoming (Off-Duty)
Boystown,Operation/Personnel Violations
Boystown,Use Of Force
Boystown,Verbal Abuse
Bridgeport,Operation/Personnel Violations
Bridgeport,Use Of Force
Bridgeport,Verbal Abuse
Brighton Park,Operation/Personnel Violations
Brighton Park,Use Of Force
Brighton Park,Illegal Search
Bucktown,Operation/Personnel Violations
Bucktown,Use Of Force
Bucktown,Verbal Abuse
Burnside,Operation/Personnel Violations
Burnside,Use Of Force
Burnside,Illegal Search
Calumet Heights,Operation/Personnel Violations
Calumet Heights,Use Of Force
Calumet Heights,Illegal Search
Chatham,Operation/Personnel Violations
Chatham,Use Of Force
Chatham,Illegal Search
Chicago Lawn,Operation/Personnel Violations
Chicago Lawn,Use Of Force
Chicago Lawn,Illegal Search
Chinatown,Operation/Personnel Violations
Chinatown,Use Of Force
Chinatown,Illegal Search
Clearing,Operation/Personnel Violations
Clearing,Use Of Force
Clearing,Conduct Unbecoming (Off-Duty)
Douglas,Operation/Personnel Violations
Douglas,Use Of Force
Douglas,Illegal Search
Dunning,Operation/Personnel Violations
Dunning,Use Of Force
Dunning,Conduct Unbecoming (Off-Duty)
East Side,Operation/Personnel Violations
East Side,Use Of Force
East Side,Traffic
East Village,Operation/Personnel Violations
East Village,Use Of Force
East Village,Lockup Procedures
Edgewater,Operation/Personnel Violations
Edgewater,Use Of Force
Edgewater,Illegal Search
Edison Park,Operation/Personnel Violations
Edison Park,Conduct Unbecoming (Off-Duty)
Edison Park,Use Of Force
Englewood,Operation/Personnel Violations
Englewood,Use Of Force
Englewood,Illegal Search
Fuller Park,Operation/Personnel Violations
Fuller Park,Lockup Procedures
Fuller Park,Use Of Force
