category,allegation_name,percentage
Use Of Force,Excessive Force / On Duty - Injury,14
Illegal Search,Search Of Premise Without Warrant,11
Operation/Personnel Violations,Inadequate / Failure To Provide Service,9
Operation/Personnel Violations,Neglect Of Duty,6
Operation/Personnel Violations,Miscellaneous,5
Verbal Abuse,Use Of Profanity,4
Use Of Force,Excessive Force / Off Duty - No Injury,3
Lockup Procedures,Prisoners Property,3
False Arrest,Illegal Arrest / False Arrest,2
Operation/Personnel Violations,Inventory Procedures,2
Operation/Personnel Violations,Reports,2
Illegal Search,Improper Search Of Vehicle,2
Illegal Search,Improper Search Of Person,2
Use Of Force,Excessive Force - Use Of Firearm / Off Duty - Injury,2
Use Of Force,Excessive Force / On Duty - No Injury,2
Domestic,Domestic Incident - Not Physical,1
Traffic,Misconduct During Issuance Of Citation,1
Conduct Unbecoming (Off-Duty),Association With Felon,1
Conduct Unbecoming (Off-Duty),Altercation / Disturbance - Other,1
Operation/Personnel Violations,Slow / No Response,1
Traffic,Miscellaneous,1
Verbal Abuse,"Racial / Ethnic, Etc.",1
Domestic,Domestic Altercation - Physical Abuse,1
Criminal Misconduct,Conspiracy To Commit A Crime,0
Use Of Force,Excessive Force - Use Of Firearm / On Duty - Injury,0
Criminal Misconduct,Theft,0
Verbal Abuse,Sexual Orientation,0
Supervisory Responsibilities,Federal Civil Suit,0
Use Of Force,Unnecessary Display Of Weapon / Off Duty,0
Lockup Procedures,Miscellaneous,0
Traffic,Improper Processing / Reporting / Procedures,0
Use Of Force,Excessive Force / Off Duty - Injury,0
Supervisory Responsibilities,State Civil Suit,0
Use Of Force,Excessive Force - Use Of Firearm / Off Duty - No Injury,0
Criminal Misconduct,Damage / Trespassing To Property,0
Use Of Force,Unnecessary Physical Contact / Off Duty - No Injury,0
Lockup Procedures,Search - Person / Property,0
Lockup Procedures,"Arrest, Improper Procedures",0
Lockup Procedures,Proper Care - Injury / Death,0
Use Of Force,Unnecessary Physical Contact / On Duty - No Injury,0
Criminal Misconduct,"Drugs / Controlled Substance, Possession Or Sale",0
Supervisory Responsibilities,Fail To Obtain A Complaint Register Number,0
Conduct Unbecoming (Off-Duty),Altercation / Disturbance - Traffic,0
Supervisory Responsibilities,Failure To Ensure - Civil Rights,0
Conduct Unbecoming (Off-Duty),Altercation / Disturbance - Neighbor,0
Operation/Personnel Violations,Insubordination,0
Use Of Force,Unnecessary Display Of Weapon / On Duty,0
Operation/Personnel Violations,Eeo Investigations,0
Operation/Personnel Violations,Misuse Of Department Equipment / Supplies,0
Traffic,Parking Complaints,0
